director,genre,gross,name,rating,runtime,score,star,votes,writer
Jim Abrahams,Comedy,40150487,Big Business,PG,97,6.3,Bette Midler,9728,Dori Pierson
George A. Romero,Drama,5344577,Monkey Shines,R,113,6.2,Jason Beghe,8595,Michael Stewart
George Roy Hill,Comedy,25537221,Funny Farm,PG,101,6.1,Chevy Chase,16321,Jay Cronley
Thom Eberhardt,Comedy,8539181,Without a Clue,PG,107,7,Michael Caine,7846,Gary Murphy
Graham Baker,Action,25216243,Alien Nation,R,91,6.3,James Caan,12143,Rockne S. O'Bannon
Ernest Thompson,Drama,5979011,1969,R,95,5.8,Robert Downey Jr.,3154,Ernest Thompson
Robert Englund,Comedy,2955917,976-EVIL,R,92,5.1,Stephen Geoffreys,3769,Brian Helgeland
Craig R. Baxley,Action,20257000,Action Jackson,R,96,5.2,Carl Weathers,8065,Robert Reneau
Robert Redford,Comedy,13825794,The Milagro Beanfield War,R,117,6.9,Rubén Blades,5289,John Nichols
Francis Ford Coppola,Biography,19652638,Tucker: The Man and His Dream,PG,110,6.9,Jeff Bridges,12469,Arnold Schulman
Alan Myerson,Comedy,4239831,Police Academy 5: Assignment: Miami Beach,PG,90,4.4,Bubba Smith,27482,Neal Israel
Spike Lee,Comedy,14545844,School Daze,R,121,5.8,Laurence Fishburne,5042,Spike Lee
Brian Gilbert,Comedy,13664060,Vice Versa,PG,98,5.8,Judge Reinhold,7667,F. Anstey
Steve De Jarnatt,Action,1145404,Miracle Mile,R,87,7,Anthony Edwards,6985,Steve De Jarnatt
Emir Kusturica,Comedy,280015,Time of the Gypsies,R,142,8.3,Davor Dujmovic,19943,Emir Kusturica
Lawrence Kasdan,Drama,32632093,The Accidental Tourist,PG,121,6.8,William Hurt,13051,Anne Tyler
Daniel Petrie,Adventure,18924919,Cocoon: The Return,PG,116,5.3,Don Ameche,12956,David Saperstein
Kevin Reynolds,War,161004,The Beast of War,R,111,7.4,George Dzundza,7675,William Mastrosimone
Martin Donovan,Drama,670774,Apartment Zero,R,124,6.9,Hart Bochner,3259,Martin Donovan
Carl Schultz,Drama,18875011,The Seventh Sign,R,97,5.9,Demi Moore,11102,Clifford Green
Bob Swaim,Drama,15855828,Masquerade,R,100,6,Rob Lowe,2628,Dick Wolf
Woody Allen,Drama,1562749,Another Woman,PG,81,7.4,Gena Rowlands,10826,Woody Allen
Clint Eastwood,Biography,2181286,Bird,R,161,7.2,Forest Whitaker,9685,Joel Oliansky
Peter Greenaway,Comedy,424773,Drowning by Numbers,R,118,7.3,Bernard Hill,6671,Peter Greenaway
Fred Schepisi,Drama,6908797,A Cry in the Dark,PG-13,120,6.9,Meryl Streep,7622,John Bryson
Mike Nichols,Comedy,43184798,Biloxi Blues,PG-13,106,6.6,Matthew Broderick,12590,Neil Simon
Oliver Stone,Drama,3468572,Talk Radio,R,110,7.3,Eric Bogosian,10745,Stephen Singular
Jean-Jacques Annaud,Adventure,31753898,The Bear,PG,96,7.7,Tchéky Karyo,13980,James Oliver Curwood
Geneviève Robert,Comedy,12277096,Casual Sex?,R,97,4.9,Lea Thompson,3279,Wendy Goldman
Allan Arkush,Comedy,11798302,Caddyshack II,PG,98,3.7,Jackie Mason,12956,Brian Doyle-Murray
Ken Kwapis,Adventure,1883811,Vibes,PG,99,5.5,Cyndi Lauper,2850,Deborah Blum
Roger Spottiswoode,Action,29300090,Shoot to Kill,R,110,6.8,Sidney Poitier,9882,Harv Zimmel
John G. Avildsen,Comedy,17514553,For Keeps?,PG-13,90,5.9,Molly Ringwald,3277,Tim Kazurinsky
Yahoo Serious,Comedy,11536599,Young Einstein,PG,91,5.1,Yahoo Serious,7621,David Roach
Martin Campbell,Crime,9974446,Criminal Law,R,117,5.7,Gary Oldman,2928,Mark Kasdan
Joan Freeman,Comedy,8253123,Satisfaction,PG-13,92,4.8,Justine Bateman,2958,Charles Purpura
Costa-Gavras,Drama,25816139,Betrayed,R,127,6.3,Debra Winger,4580,Joe Eszterhas
Glenn Gordon Caron,Drama,8674093,Clean and Sober,R,124,6.7,Michael Keaton,4875,Tod Carroll
Jon Hess,Action,940173,Al borde del terror,R,91,5.3,Corey Haim,3376,Dean R. Koontz
Joseph Zito,Action,4192440,Escorpion rojo,R,105,5,Dolph Lundgren,6925,Robert Abramoff
Annabel Jankel,Mystery,12706478,D.O.A.,R,96,6.1,Dennis Quaid,8364,Charles Edward Pogue
Michael Winner,Crime,960040,Appointment with Death,PG,100,6.2,Peter Ustinov,2554,Agatha Christie
Mira Nair,Crime,2080046,Salaam Bombay!,NOT RATED,113,8,Shafiq Syed,7139,Hriday Lani
Peter Markle,Drama,3966256,Bat*21,R,105,6.4,Gene Hackman,6651,William C. Anderson
Geoff Burrowes,Adventure,13687027,Return to Snowy River,PG,110,6.6,Tom Burlinson,1943,Geoff Burrowes
Paul Golding,Horror,40397,Pulse,PG-13,95,5.5,Cliff De Young,1781,Paul Golding
Steven Kampmann,Drama,7467504,Stealing Home,PG-13,98,6.8,Mark Harmon,3633,Steven Kampmann
Alan Metter,Comedy,10815378,Moving,R,89,6.1,Richard Pryor,4139,Andy Breckman
Paul Flaherty,Comedy,2567099,18 Again!,PG,93,5.7,Charlie Schlatter,3573,Josh Goldstein
David Anspaugh,Drama,6640346,Fresh Horses,PG-13,105,5,Molly Ringwald,1439,Larry Ketron
Paul Bogart,Comedy,4865997,Torch Song Trilogy,R,120,7.7,Anne Bancroft,5834,Harvey Fierstein
Mark Goldblatt,Action,3588626,Dead Heat,R,86,6,Treat Williams,5127,Terry Black
Jim Wynorski,Comedy,107352,Not of This Earth,R,81,4.5,Traci Lords,1724,R.J. Robertson
Richard Benjamin,Drama,1733070,Little Nikita,PG,98,6,Sidney Poitier,4132,John Hill
David Seltzer,Comedy,21032267,Punchline,R,128,5.8,Sally Field,6938,David Seltzer
Ferdinand Fairfax,Action,5855392,The Rescue,PG,100,5.4,Kevin Dillon,920,Jim Thomas
Aaron Norris,Action,6193901,Braddock: Missing in Action III,R,101,4.7,Chuck Norris,4679,Steve Bing
Sidney J. Furie,Action,10497324,Iron Eagle II,PG,100,3.6,Louis Gossett Jr.,4195,Kevin Alyn Elders
Bruno Nuytten,Biography,201055,Camille Claudel,R,158,7.3,Isabelle Adjani,5243,Reine-Marie Paris
Randal Kleiser,Adventure,15122324,Big Top Pee-wee,PG,86,4.9,Paul Reubens,7756,Paul Reubens
Mike Figgis,Crime,1791328,Stormy Monday,R,93,6.3,Melanie Griffith,2958,Mike Figgis
Keith Gordon,Drama,303624,The Chocolate War,R,100,6.9,John Glover,1784,Robert Cormier
Kar-Wai Wong,Crime,8440,As Tears Go By,Not specified,102,7.1,Andy Lau,6485,Jeffrey Lau
Janet Greek,Drama,1938049,Spellbinder,R,99,5.8,Tim Daly,1633,Tracy Tormé
Harold Becker,Drama,784990,The Boost,R,95,6.1,James Woods,1629,Ben Stein
Paul Mazursky,Comedy,11444204,Moon Over Parador,PG-13,103,5.9,Richard Dreyfuss,4778,Charles G. Booth
John R. Cherry III,Comedy,28202109,Ernest Saves Christmas,PG,95,5.6,Jim Varney,8513,Ed Turner
Chris Menges,Drama,2326900,A World Apart,PG,100,7.1,Barbara Hershey,1234,Shawn Slovo
James B. Harris,Crime,1884315,Cop,R,110,6.4,James Woods,3419,James Ellroy
David Green,Comedy,540000,Buster,R,91,5.8,Phil Collins,2767,Colin Shindler
Joan Micklin Silver,Comedy,16262415,Crossing Delancey,PG,97,6.9,Amy Irving,2935,Susan Sandler
Bernard Rose,Drama,241278,Paperhouse,PG-13,92,6.8,Charlotte Burke,4568,Catherine Storr
Robert Mulligan,Drama,5194491,Clara's Heart,PG-13,100,6.3,Whoopi Goldberg,1821,Joseph Olshan
Pablo Larraín,Biography,938875,Neruda,R,107,7,Gael García Bernal,5680,Guillermo Calderón
Bank Tangjaitrong,Adventure,13557,Till We Meet Again,NOT RATED,105,6.9,John Matton,1248,John Matton
Bruce Beresford,Comedy,685143,Mr. Church,PG-13,104,7.7,Eddie Murphy,18249,Susan McMartin
Deon Taylor,Comedy,9093856,Meet the Blacks,R,94,6,Mike Epps,18980,Nicole DeMasi
Justin Kelly,Crime,28505,King Cobra,NOT RATED,91,5.6,Garrett Clayton,4894,Justin Kelly
D.J. Caruso,Drama,2411580,The Disappointments Room,R,85,3.9,Kate Beckinsale,6287,Wentworth Miller
Mick Jackson,Biography,4072226,Denial,PG-13,109,6.6,Rachel Weisz,10848,David Hare
James Watkins,Action,39000,The Take,R,92,6.3,Idris Elba,23717,Andrew Baldwin
Kirk Jones,Comedy,59573085,My Big Fat Greek Wedding 2,PG-13,94,6,Nia Vardalos,22142,Nia Vardalos
David E. Talbert,Comedy,41715860,Almost Christmas,PG-13,111,6,Kimberly Elise,3366,David E. Talbert
Johannes Roberts,Horror,2987063,The Other Side of the Door,R,96,5.3,Sarah Wayne Callies,13615,Johannes Roberts
François Ozon,Drama,880474,Frantz,PG-13,113,7.5,Pierre Niney,6634,François Ozon
Brad Peyton,Horror,4790573,Incarnate,PG-13,91,5.2,Aaron Eckhart,7778,Ronnie Christensen
Takeshi Nozue,Animation,233569,Kingsglaive: Final Fantasy XV,PG-13,110,6.9,Aaron Paul,15705,Takashi Hasegawa
Joshua Marston,Drama,166827,Complete Unknown,R,91,5.4,Erin Darke,3864,Joshua Marston
James Schamus,Drama,3399841,Indignation,R,110,6.8,Logan Lerman,8479,Philip Roth
Greg McLean,Horror,10732841,The Darkness,PG-13,92,4.4,Kevin Bacon,9450,Greg McLean
Whit Stillman,Comedy,14013564,Love & Friendship,PG,90,6.5,Kate Beckinsale,17862,Whit Stillman
John Krasinski,Comedy,1016872,The Hollars,PG-13,88,6.5,Sharlto Copley,7227,Jim Strouse
Susanna White,Crime,3152725,Our Kind of Traitor,R,108,6.2,Carlos Acosta,13857,John le Carré
Steve Carr,Animation,19985196,Middle School: The Worst Years of My Life,PG,92,6.1,Griffin Gluck,4556,Chris Bowman
Andrew Neel,Drama,23020,Goat,R,96,5.7,Ben Schnetzer,4439,David Gordon Green
Anna Biller,Comedy,228894,The Love Witch,UNRATED,120,6.2,Samantha Robinson,6054,Anna Biller
Kevin Reynolds,Action,36874745,Risen,PG-13,107,6.3,Joseph Fiennes,19084,Kevin Reynolds
Mandie Fletcher,Comedy,4750497,Absolutely Fabulous: The Movie,R,91,5.4,Jennifer Saunders,9161,Jennifer Saunders
Paul Duddridge,Drama,28368,Mothers and Daughters,PG-13,90,4.9,Selma Blair,1959,Paige Cameron
Sam Liu,Animation,3775000,Batman: The Killing Joke,R,76,6.5,Kevin Conroy,36333,Brian Azzarello
Nicolas Pesce,Drama,25981,The Eyes of My Mother,R,76,6.2,Kika Magalhães,6947,Nicolas Pesce
Nicole Garcia,Drama,37757,From the Land of the Moon,R,120,6.7,Marion Cotillard,2411,Milena Agus
